year,total_precipitation,median_precipitation
39.215,12861.0,1094.0
39.216,4287.0,1094.0
39.218,12861.0,1094.0
39.219,4287.0,1094.0
39.22,4287.0,1094.0
39.221,8574.0,1094.0
39.222,4287.0,1094.0
39.223,4287.0,1094.0
39.224,8574.0,1094.0
39.225,8574.0,1094.0
39.226,4287.0,1094.0
39.227,8574.0,1094.0
39.228,4287.0,1094.0
39.229,4287.0,1094.0
39.23,12861.0,1094.0
39.231,4287.0,1094.0
39.232,8574.0,1094.0
39.233,8574.0,1094.0
39.234,4287.0,1094.0
39.235,4287.0,1094.0
39.236,12861.0,1094.0
39.237,4287.0,1094.0
39.238,4287.0,1094.0
39.239,17148.0,1094.0
39.24,4287.0,1094.0
39.241,8574.0,1094.0
39.242,8574.0,1094.0
39.243,17148.0,1094.0
39.244,12861.0,1094.0
39.245,21435.0,1094.0
39.246,17148.0,1094.0
39.247,25722.0,1094.0
39.248,25722.0,1094.0
39.249,38583.0,1094.0
39.25,42870.0,1094.0
39.251,4287.0,1094.0
39.252,8574.0,1094.0
39.254,4287.0,1094.0
39.255,4287.0,1094.0
39.256,4287.0,1094.0
39.258,12861.0,1094.0
39.26,8574.0,1094.0
39.261,8574.0,1094.0
